user_input,reference,reference_contexts,source,persona
병역법에 따라 병역준비역으로 편입된 사람에게 어떤 절차나 사항을 통지해야 하나요?,"병역법에 따르면 지방병무청장은 병역준비역으로 편입된 사람에게 현역, 보충역, 대체역의 복무, 병역판정검사, 입영 등의 연기, 의무이행일의 연기 등과 같은 절차를 통지해야 합니다. 다만, 국외에 거주하거나 행방을 알 수 없는 경우에는 통지가 불가능할 수 있습니다.","① 지방병무청장(병무지청장을 포함한다. 이하 이 조에서 같다)은 병역준비역으로 편입
된 사람에게 해당 병역으로 편입되었다는 사실과 다음 각 호의 사항에 관한 절차 등을 통지하여야 한다. 다만, 국외
에 거주하거나 행방을 알 수 없는 경우 등으로 통지가 불가능한 경우는 제외한다.
1. 제5조제1항제1호가목에 따른 현역, 같은 항 제3호나목에 따른 보충역 및 같은 항 제6호에 따른 대체역의 복무
2. 제11조에 따른 병역판정검사
3. 제60조에 따른 병역판정검사 및 입영 등의 연기
4. 제61조에 따른 의무이행일의 연기
5. 그 밖에 대통령령으로 정하는 사항
② 병무청장 또는 지방병무청장은 예비역으로 편입된 사람, 보충역ㆍ대체복무요원 복무를 마친 사람 등 대통령령으
로 정하는 사람에게 해당 병역으로 편입되었다는 사실과 다음 각 호의 사항에 관한 절차 등을 통지하여야 한다. 다
만, 국외에 거주하거나 행방을 알 수 없는 경우 등으로 통지가 불가능한 경우는 제외한다.
1. 제46조에 따른 병력동원소집 및 제50조에 따른 병력동원훈련소집
2. 제65조제1항 및 제4항에 따른 병역처분 변경

법제처                                                            5                                                       국가법령정보센터
병역법
3. 제65조의2제1항에 따른 대체역의 병역처분 변경
4. 「예비군법」 제3조의2에 따른 예비군의 편성
5. 「대체역의 편입 및 복무 등에 관한 법률」 제26조에 따른 예비군대체복무
6. 그 밖에 대통령령으로 정하는 사항
③ 제1항 및 제2항에 따른 통지 내용ㆍ방식, 그 밖에 필요한 사항은 대통령령으로 정한다.
[본조신설 2022. 1. 4.]",neo4j,법령 확인 민원인
군 복무에 관련된 위원회의 회의는 어떻게 운영되나요?,"위원회의 회의는 재적위원 과반수의 출석으로 개의하고, 출석위원 3분의 2 이상의 찬성으로 의결됩니다. 또한, 위원회의 회의는 일반적으로 공개되지 않지만, 위원장이 필요하다고 인정하는 경우에는 공개될 수 있습니다.","① 위원장은 회의를 소집하고 그 의장이 된다.
② 위원회의 회의는 재적위원 과반수의 출석으로 개의하고, 출석위원 3분의 2 이상의 찬성으로 의결한다. 다만,
위원회의 운영에 관한 사항은 출석위원 과반수의 찬성으로 의결한다.
③ 위원은 자기와 이해관계 있는 안건의 심사에는 참여할 수 없다.
④ 위원회의 회의는 공개하지 아니한다. 다만, 위원장이 필요하다고 인정하는 때에는 그러하지 아니하다.",neo4j,군 복무자
국군 회원과 기업 회원이 받을 수 있는 혜택의 제공 주기는 어떻게 되나요?,"국군 회원은 전용 쿠폰을 월 1회 받을 수 있으며, 기업 회원은 쿠폰을 월별로 변동되게 받으며 연 1회 받는 쿠폰과 캔슬프리 혜택을 받을 수 있습니다.","이 표는 국군/기업 회원 대상 숙박·예약 혜택을 요약한 것으로 보이며, 각 컬럼에는 제공되는 쿠폰·프로모션 항목이 나열되어 있습니다. 주요 항목으로는 **국군 전용쿠폰 월 1회 제공**, **기업회원 쿠폰 월별 변동**, **기업 회원쿠폰 연 1회 제공**, **연 1회 캔슬프리 혜택 제공**, **Gold 특가 숙소 혜택 제공**이 포함됩니다. 즉, 회원 유형별로 쿠폰 제공 주기(월 1회, 연 1회)와 추가 혜택(캔슬프리, 특가 숙소)이 정리된 표입니다.",qdrant,법령 확인 민원인
전역할 때 전역증은 어떻게 받을 수 있나요?,"전역증은 전역 당일 전역신고 후 개인에게 지급됩니다. 만약 나라사랑카드를 보유하고 있다면, 전역정보가 탑재되어 전역일 당일 나라사랑카드 이메일로 발송되며 필요시 출력해서 사용할 수 있습니다.","2026 병 복지 길라잡이 45
전 역
현역병의 예비역 편입
 • 시기 / 권한 : 현역병이 복무기간을 마친 때 / 참모총장
 ＊육・공군은 장관급부대장(독립전대장), 해군 참모총장 
전역 절차
 • 전역 월 15일 전 전역예정자 명단 확인
 ＊영창, 탈영기록 등 전역일자 적합여부 검토
 • 전역명령 발령 : 전역 월 도래 1주 전
 • 전역증 제작 : 편성부대에서 양식 수령 후 작성
 - 나라사랑카드 보유자는 나라사랑카드에 전역정보 탑재 시 전역일 당일 
나라사랑카드 이메일로 발송되므로 필요시 출력 사용
 ＊구글 play스토어에서 나라사랑카드로 검색 후 APP 설치 시 개인인증 후 본인의 
전역정보 확인 가능
 • 전역증 지급 : 전역 당일 전역신고 후 개인지급
전역증 재발급
 • 훼손 또는 분실 시 지방병무청에 신청
 ＊전역증 재교부 신청서 + 증명사진 1매(2×2.5㎝)
가사사정으로 인한 전역
대 상
 • 본인이 아니면 가족 생계유지 불가자 : 전시근로역
 • 부모, 형제, 자매 중 전사・순직자나 전공상으로 인한 장애인이 있는 
경우의 1인 : 복무기간 단축(6개월)
 ※ 상기 대상자가 희망 시 병역감면원서 제출",qdrant,군 복무자
군 복무 중 성고충 문제에 대한 전문 상담 제도는 어떤 항목에 포함되어 있나요?,성고충 문제에 대한 전문 상담 제도는 '성고충전문상담관 운영' 항목에 포함되어 있습니다. 이는 군 복무 중 인사·복지·상담·인권 보호와 관련된 제도 중 하나로 안내되고 있습니다.,"이 표는 **인사제도/근무 분야**에 관한 목차형 목록으로, 군 인사·복무 관련 제도와 지원 서비스를 정리한 것입니다. 컬럼상으로는 **Part(구분)**가 01로 표시되고, 세부 항목은 **장기/연장복무제도, 대외부서 등 선발제도 및 절차, 전과(병과 전환) 제도, 표창 및 상훈제도, 휴가, 성고충전문상담관 운영, 병영생활전문상담관 운영, 국방헬프콜(1303), 군인권지키미** 등 **총 9개 항목**으로 구성되어 있습니다. 즉, 군 복무 중 인사·복지·상담·인권 보호와 관련된 제도들을 한데 묶어 안내하는 표입니다.",qdrant,법령 확인 민원인
2026년에는 초급간부의 기본급이 얼마나 인상되나요?,"2026년에는 초급간부의 기본급이 6.6% 인상됩니다. 예를 들어, 소위는 2,150,400원, 중위는 2,306,700원, 하사는 2,133,000원, 중사는 2,181,500원이 됩니다.","6 
 기본급 및 각종 수당 인상 
 
•(기본급) 초급간부 기본급 6.6% 인상(하사·중사·소위·중위)
구 분
소 위
중 위
하 사
중 사
’25년
2,017,300원
2,163,900원
2,000,900원
2,046,400원
’26년
2,150,400원
2,306,700원
2,133,000원
2,181,500원
* 기타 계급은 3.5% 인상
 
•(특수/위험근무수당) 핵심전투인력 수당 신설 및 인상
구 분
특수근무수당
위험근무수당
신설
· 간호조무부사관 장려수당
· 국방대학교 특정직 교수 수당
· 방사선 취급 근무자 위험근무수당
· 운용시험평가관 위험근무수당
· 조사본부 과학수사연구소 
 위험근무수당
인상/
확대
· 수상함 함정근무수당 10%
· 중요직무급 위험·특수지근무수당과 병급
· 장려수당 1호(특수무기), 5호(위성운용), 
8호(부사관) 지급대상 확대
· 급유통제사 항공수당 급호 인상
· 야간비행 출동가산금 확대
· 민원업무수당 인상
· 갑3호(대테러부대) 지급대상 확대
 
•(시간외근무수당) 상한시간 예외직위 최신화
 - 의무후송항공대, 해상초계기 운용요원, 우도경비대 등
 * 시간외근무 상한 시간은 동일(GP 200시간, GOP·해강안·함정 등 150시간)
 
•(비상근무수당) 일 8,000원, 월 120,000원→일 16,000원, 월 180,000원
 
•(업무대행수당) 육아·질병휴직 → 대상 확대(모든 휴직 업무대행자)
 당직근무비 인상
 
•평일 : 2만원 → 3만원 / 휴일 4만원 → 10만원
 장병e음 플랫폼 서비스 개시 : ’26. 2월
 
•인사, 행정, 복지 등 여러 서비스를 통합·연결하여 모바일 환경에서 일괄 
제공하는 플랫폼 개시
’26년도에는 이렇게 바뀝니다!
2026 초급간부 길라잡이",qdrant,군 복무자
전직지원교육을 위탁할 수 있는 기관은 어떤 기준으로 선정되나요?,"전직지원교육 관련 업무는 국방부장관이 대통령령으로 정한 바에 따라 위탁할 수 있습니다. 이 업무는 「국방전직교육원법」에 따른 국방전직교육원 또는 전직지원교육에 필요한 인력, 조직 등을 갖춘 기관이나 단체에 위탁할 수 있습니다.","① 군인으로서 복무한 후 전역하는 사람에 대하여는 취업 및 창업을 지원하기 위하여 대통령
령으로 정하는 바에 따라 전직지원교육(轉職支援敎育)을 할 수 있다. <개정 2026. 2. 3.>
② 국방부장관은 제1항에 따른 전직지원교육 관련 업무를 대통령령으로 정하는 바에 따라 「국방전직교육원법」에
따른 국방전직교육원 또는 전직지원교육에 필요한 인력, 조직 등을 갖춘 기관 또는 단체에 위탁하게 할 수 있다.<신
설 2026. 2. 3.>
③ 국방부장관은 제1항에 따른 전직지원교육의 성과를 평가하고 개선하기 위하여 국민연금, 국민건강보험, 고용보
험, 산업재해보상보험에 관한 자료 등 대통령령으로 정하는 취업 및 창업 여부와 고용실태 확인 등에 필요한 자료를
요청할 수 있다. 이 경우 요청받은 관계 기관의 장은 특별한 사유가 없으면 그 요청에 따라야 한다.<신설 2026. 2.
3.>
④ 제1항 및 제2항에 따른 업무에 종사하거나 종사하였던 사람은 제3항에 따라 제공받은 자료나 업무를 수행하면
서 취득한 정보를 이 법에서 정한 목적 외의 용도로 사용하거나 다른 사람 또는 기관에 제공하거나 누설하여서는
아니 된다.<신설 2026. 2. 3.>
⑤ 국방부장관은 제1항에 따른 전직지원교육을 효율적으로 실시하기 위하여 필요하다고 인정하는 경우에는 「국민
평생 직업능력 개발법」에 따라 직업능력개발훈련을 실시하는 기관에 대통령령으로 정하는 바에 따라 장교ㆍ준사관
또는 부사관으로 복무한 후 전역 예정인 사람을 추천하여 직업능력개발훈련을 받게 할 수 있다.<신설 2026. 2. 3.>
[전문개정 2011. 5. 24.]
[시행일: 2026. 8. 4.] 제46조의2",neo4j,법령 확인 민원인
군 복무 중 병 복지 혜택에는 어떤 것들이 있나요?,"병 복지 혜택에는 급여, 휴가, 의료 서비스, 주거 지원 등이 포함됩니다. 이러한 혜택들은 군 복무자들이 복무 기간 중 필요한 지원을 받을 수 있도록 설계되었습니다.","▶▶▶ 병 복지혜택 이렇게 다양합니다
2026
병 복지 길라잡이",qdrant,군 복무자
박사과정전문연구요원이 박사학위 취득 유예기간을 신청하려면 어떤 절차를 따라야 하나요?,"박사과정전문연구요원이 박사학위 취득 유예기간을 신청하려면 복무하고 있는 병역지정업체의 장에게 유예기간 부여 신청서를 제출해야 합니다. 그 후, 병역지정업체의 장은 14일 이내에 신청서를 병무청장에게 보내야 하며, 병무청장은 이를 검토하여 유예기간 승인 여부와 유예기간을 결정하게 됩니다.","① 법 제37조제1항제2호 또는 제3호에 따라 전문연구요원으로 편
입된 사람(이하 “박사과정전문연구요원”이라 한다)이 같은 조 제4항에 따라 박사학위 취득의 유예기간을 부여받으려
는 경우에는 복무하고 있는 병역지정업체의 장에게 유예기간 부여 신청서를 제출해야 한다.
② 제1항에 따른 신청서를 받은 병역지정업체의 장은 신청서를 받은 날부터 14일 이내에 이를 병무청장에게 보내
야 한다.
③ 제2항에 따라 병역지정업체의 장으로부터 신청서를 받은 병무청장은 해당 박사과정전문연구요원이 35세(법 제
37조제1항제3호에 해당하는 사람은 37세)까지 의무복무를 마칠 수 있는지 등을 고려하여 유예기간 승인 여부와 유
예기간을 결정한다.
④ 병무청장은 제3항에 따른 결정 내용을 해당 병역지정업체의 장에게 통보하고, 해당 병역지정업체의 장은 신청인
에게 그 내용을 통보해야 한다.
⑤ 제1항부터 제4항까지에서 규정한 사항 외에 유예기간 신청 방법 및 절차 등에 관하여 필요한 사항은 병무청장이
정한다.
[본조신설 2021. 10. 14.]",neo4j,법령 확인 민원인
2026년에 소위 계급의 급여는 얼마나 되나요?,"2026년에 소위 계급의 급여는 2,150,400원입니다.","이 표는 **구분별 금액 기준**을 보여주며, 컬럼은 각각 **소위, 중위, 하사, 중사** 계급을 뜻합니다. 상단의 첫 번째 수치는 기존 기준 금액으로 보이며, **소위 2,017,300원, 중위 2,163,900원, 하사 2,000,900원**이 제시되어 있고, **중사 값은 공란**입니다. 하단의 **’26년** 행은 2026년 기준 금액으로 보이며 **소위 2,150,400원, 중위 2,306,700원, 하사 2,133,000원, 중사 2,181,500원**으로 표시되어 있습니다.",qdrant,군 복무자
